Date,Year,Month,Region,CustomerSegment,Channel,Category,SubCategory,Product,Quantity,UnitPrice,DiscountRate,Sales,Cost,Profit
2023-09-05,2023,9,Dallas,Corporate,In-Store,Clothing,Clothing,Women's Jeans,70,409.14,0.22,22339.04,16383.62,5955.42
2023-10-16,2023,10,San Antonio,Small Business,Online,Furniture,Furniture,Conference Table,49,946.85,0.08,42684.0,26627.7,16056.3
2023-08-15,2023,8,San Antonio,Consumer,Online,Office Supplies,Office Supplies,Printer Paper,65,191.11,0.18,10186.16,9103.82,1082.34
2025-01-17,2025,1,Phoenix,Consumer,In-Store,Electronics,Electronics,Samsung Galaxy S23,11,671.55,0.19,5983.51,4021.58,1961.93
2024-12-31,2024,12,Houston,Home Office,Online,Clothing,Clothing,Jacket,8,556.88,0.14,3831.33,2782.13,1049.2
2024-08-05,2024,8,Dallas,Consumer,In-Store,Electronics,Electronics,Fitbit Versa 4,52,812.82,0.2,33813.31,21507.0,12306.31
2024-08-20,2024,8,San Antonio,Corporate,Online,Office Supplies,Office Supplies,Stapler,34,492.35,0.12,14731.11,9782.47,4948.64
2025-10-06,2025,10,Dallas,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,71,89.82,0.28,4591.6,3259.74,1331.86
2025-09-15,2025,9,Los Angeles,Small Business,Online,Furniture,Furniture,Bookshelf,85,390.56,0.09,30209.82,18518.72,11691.1
2024-05-02,2024,5,San Antonio,Home Office,Online,Clothing,Clothing,Jacket,8,267.57,0.0,2140.56,1426.92,713.64
2025-05-02,2025,5,Dallas,Consumer,In-Store,Clothing,Clothing,Socks,22,690.75,0.15,12917.02,10333.22,2583.8
2025-03-23,2025,3,Phoenix,Home Office,In-Store,Clothing,Clothing,Jacket,20,114.75,0.14,1973.7,1188.93,784.77
2024-07-25,2024,7,Chicago,Small Business,Online,Clothing,Clothing,Sneakers,99,783.04,0.26,57365.51,50661.0,6704.51
2023-01-16,2023,1,Dallas,Corporate,In-Store,Electronics,Electronics,Samsung Galaxy S23,70,717.68,0.05,47725.72,40423.1,7302.62
2025-07-31,2025,7,San Diego,Small Business,In-Store,Furniture,Furniture,Conference Table,45,950.42,0.3,29938.23,26264.91,3673.32
2025-06-27,2025,6,San Jose,Corporate,In-Store,Office Supplies,Office Supplies,Notebook,49,181.76,0.09,8104.68,6459.95,1644.73
2024-09-30,2024,9,Houston,Small Business,In-Store,Furniture,Furniture,File Cabinet,49,527.87,0.05,24572.35,15137.02,9435.33
2024-06-10,2024,6,San Antonio,Home Office,In-Store,Clothing,Clothing,Men's T-Shirt,50,686.52,0.1,30893.4,19663.43,11229.97
2024-04-24,2024,4,New York,Consumer,Online,Electronics,Electronics,Dell XPS 13,84,188.35,0.04,15188.54,12139.7,3048.84
2023-09-09,2023,9,San Jose,Corporate,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,92,319.1,0.18,24072.9,19247.27,4825.63
2025-04-13,2025,4,San Diego,Home Office,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,68,824.84,0.04,53845.56,38789.04,15056.52
2025-08-05,2025,8,San Antonio,Corporate,Online,Electronics,Electronics,Fitbit Versa 4,75,214.39,0.05,15275.29,11400.35,3874.94
2025-06-30,2025,6,Philadelphia,Consumer,In-Store,Office Supplies,Office Supplies,Notebook,47,137.73,0.06,6084.91,5192.64,892.27
2025-03-05,2025,3,San Antonio,Consumer,In-Store,Electronics,Electronics,Kindle Paperwhite,87,587.89,0.08,47054.72,30254.21,16800.51
2024-05-29,2024,5,Houston,Consumer,In-Store,Electronics,Electronics,Kindle Paperwhite,31,610.49,0.03,18357.43,11996.32,6361.11
2025-02-21,2025,2,Houston,Small Business,In-Store,Furniture,Furniture,Conference Table,45,73.42,0.17,2742.24,2392.8,349.44
2023-06-19,2023,6,Chicago,Corporate,In-Store,Clothing,Clothing,Men's T-Shirt,2,855.33,0.21,1351.42,926.01,425.41
2023-09-15,2023,9,Los Angeles,Home Office,Online,Electronics,Electronics,Samsung Galaxy S23,50,815.11,0.12,35864.84,24485.81,11379.03
2024-09-27,2024,9,Chicago,Small Business,Online,Office Supplies,Office Supplies,Stapler,33,210.6,0.21,5490.34,3644.54,1845.8
2023-03-04,2023,3,Houston,Corporate,In-Store,Electronics,Electronics,GoPro HERO11,27,129.25,0.0,3489.75,2173.71,1316.04
2023-06-12,2023,6,Dallas,Consumer,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,20,77.35,0.14,1330.42,1051.95,278.47
2023-01-19,2023,1,Philadelphia,Consumer,Online,Electronics,Electronics,Kindle Paperwhite,21,781.34,0.16,13782.84,11315.59,2467.25
2024-12-16,2024,12,Philadelphia,Corporate,Online,Clothing,Clothing,Jacket,37,563.38,0.18,17092.95,11877.06,5215.89
2024-10-19,2024,10,Philadelphia,Small Business,In-Store,Office Supplies,Office Supplies,Notebook,45,994.16,0.27,32658.16,25187.02,7471.14
2023-07-27,2023,7,San Diego,Corporate,Online,Furniture,Furniture,Conference Table,34,569.8,0.17,16079.76,10685.34,5394.42
2024-03-16,2024,3,Dallas,Consumer,In-Store,Furniture,Furniture,Bookshelf,10,895.48,0.24,6805.65,6097.18,708.47
2023-03-15,2023,3,San Diego,Small Business,In-Store,Furniture,Furniture,Office Chair,74,638.44,0.1,42520.1,28750.6,13769.5
2025-09-28,2025,9,San Antonio,Corporate,Online,Electronics,Electronics,MacBook Pro 16,46,600.19,0.12,24295.69,20813.82,3481.87
2023-05-01,2023,5,Dallas,Corporate,In-Store,Electronics,Electronics,Kindle Paperwhite,13,881.81,0.24,8712.28,5427.02,3285.26
2024-08-01,2024,8,Philadelphia,Small Business,Online,Furniture,Furniture,Bookshelf,23,973.79,0.16,18813.62,16340.33,2473.29
2024-10-08,2024,10,Chicago,Consumer,In-Store,Furniture,Furniture,Standing Desk,96,602.44,0.1,52050.82,35047.18,17003.64
2023-09-24,2023,9,San Jose,Home Office,In-Store,Office Supplies,Office Supplies,Desk Lamp,23,576.26,0.28,9542.87,7018.74,2524.13
2025-08-25,2025,8,San Jose,Corporate,Online,Office Supplies,Office Supplies,Notebook,12,320.86,0.29,2733.73,1794.85,938.88
2023-03-11,2023,3,San Antonio,Corporate,In-Store,Office Supplies,Office Supplies,Stapler,72,500.07,0.01,35644.99,25987.45,9657.54
2024-02-25,2024,2,San Diego,Consumer,Online,Furniture,Furniture,Conference Table,64,334.12,0.03,20742.17,17019.85,3722.32
2023-10-27,2023,10,San Diego,Corporate,Online,Clothing,Clothing,Men's T-Shirt,42,311.81,0.03,12703.14,11107.88,1595.26
2024-10-22,2024,10,San Diego,Corporate,In-Store,Electronics,Electronics,iPhone 14 Pro,55,97.79,0.0,5378.45,4601.49,776.96
2025-09-10,2025,9,New York,Home Office,In-Store,Clothing,Clothing,Sneakers,86,205.83,0.23,13630.06,9150.36,4479.7
2025-07-23,2025,7,San Diego,Small Business,Online,Furniture,Furniture,Bookshelf,33,325.48,0.13,9344.53,7808.86,1535.67
2024-02-14,2024,2,Philadelphia,Home Office,Online,Electronics,Electronics,iPhone 14 Pro,47,437.29,0.22,16031.05,14401.8,1629.25
2023-06-04,2023,6,Phoenix,Home Office,Online,Clothing,Clothing,Jacket,33,831.58,0.11,24423.5,17396.93,7026.57
2023-02-11,2023,2,Dallas,Corporate,Online,Electronics,Electronics,Samsung Galaxy S23,10,554.77,0.03,5381.27,4030.23,1351.04
2023-02-06,2023,2,New York,Consumer,In-Store,Electronics,Electronics,Nikon D3500 DSLR,80,978.85,0.09,71260.28,59219.45,12040.83
2025-09-24,2025,9,Philadelphia,Home Office,In-Store,Clothing,Clothing,Men's T-Shirt,11,771.76,0.11,7555.53,6087.8,1467.73
2024-09-17,2024,9,New York,Small Business,Online,Clothing,Clothing,Women's Jeans,98,598.67,0.01,58082.96,37575.02,20507.94
2024-01-28,2024,1,San Jose,Consumer,In-Store,Electronics,Electronics,iPhone 14 Pro,84,804.14,0.1,60792.98,48429.69,12363.29
2024-02-09,2024,2,Philadelphia,Corporate,Online,Clothing,Clothing,Women's Jeans,47,475.14,0.07,20768.37,13526.5,7241.87
2025-04-22,2025,4,Los Angeles,Corporate,In-Store,Electronics,Electronics,MacBook Pro 16,70,429.46,0.29,21344.16,17971.39,3372.77
2025-11-06,2025,11,New York,Home Office,Online,Electronics,Electronics,MacBook Pro 16,12,992.14,0.17,9881.71,7115.3,2766.41
2023-04-17,2023,4,Philadelphia,Corporate,Online,Furniture,Furniture,Standing Desk,47,928.99,0.2,34930.02,30716.31,4213.71
2025-08-10,2025,8,Philadelphia,Home Office,Online,Furniture,Furniture,Bookshelf,31,330.01,0.01,10128.01,7383.89,2744.12
2025-05-17,2025,5,Los Angeles,Consumer,Online,Clothing,Clothing,Men's T-Shirt,69,851.07,0.29,41693.92,35129.25,6564.67
2023-08-11,2023,8,Phoenix,Home Office,Online,Furniture,Furniture,Standing Desk,44,730.21,0.02,31486.66,26176.6,5310.06
2023-02-09,2023,2,San Jose,Small Business,In-Store,Electronics,Electronics,Fitbit Versa 4,63,780.81,0.12,43288.11,28038.39,15249.72
2023-09-30,2023,9,Chicago,Small Business,In-Store,Electronics,Electronics,Kindle Paperwhite,71,487.09,0.08,31816.72,23586.62,8230.1
2023-02-19,2023,2,Los Angeles,Home Office,In-Store,Clothing,Clothing,Jacket,2,435.02,0.19,704.73,503.18,201.55
2023-09-21,2023,9,San Antonio,Small Business,In-Store,Clothing,Clothing,Sneakers,7,178.31,0.21,986.05,702.82,283.23
2024-03-12,2024,3,Chicago,Corporate,Online,Office Supplies,Office Supplies,Desk Lamp,78,425.34,0.07,30854.16,24564.0,6290.16
2025-05-16,2025,5,Los Angeles,Corporate,In-Store,Electronics,Electronics,Sony WH-1000XM5,87,85.36,0.03,7203.53,5616.11,1587.42
2023-01-08,2023,1,Houston,Corporate,In-Store,Furniture,Furniture,File Cabinet,22,89.24,0.23,1511.73,1313.28,198.45
2025-09-21,2025,9,New York,Home Office,In-Store,Clothing,Clothing,Women's Jeans,66,178.06,0.26,8696.45,7096.32,1600.13
2023-07-06,2023,7,Houston,Corporate,Online,Furniture,Furniture,File Cabinet,94,950.15,0.19,72344.42,54109.67,18234.75
2024-10-15,2024,10,Los Angeles,Corporate,Online,Clothing,Clothing,Sneakers,28,495.9,0.29,9858.49,7851.14,2007.35
2025-07-14,2025,7,Houston,Corporate,Online,Electronics,Electronics,Sony WH-1000XM5,47,27.04,0.02,1245.46,1101.72,143.74
2023-09-30,2023,9,San Jose,Corporate,In-Store,Clothing,Clothing,Sneakers,69,709.83,0.17,40651.96,25644.05,15007.91
2025-03-08,2025,3,Houston,Corporate,Online,Clothing,Clothing,Men's T-Shirt,78,732.53,0.3,39996.14,31957.98,8038.16
2024-11-29,2024,11,San Antonio,Small Business,Online,Office Supplies,Office Supplies,Printer Paper,44,102.27,0.07,4184.89,2774.86,1410.03
2025-10-26,2025,10,Los Angeles,Consumer,In-Store,Electronics,Electronics,MacBook Pro 16,83,685.88,0.28,40988.19,33064.67,7923.52
2024-01-18,2024,1,Dallas,Consumer,In-Store,Electronics,Electronics,Dell XPS 13,59,349.66,0.19,16710.25,12124.34,4585.91
2025-06-12,2025,6,San Antonio,Corporate,Online,Furniture,Furniture,Bookshelf,96,419.02,0.04,38616.88,28324.85,10292.03
2025-09-28,2025,9,Los Angeles,Small Business,In-Store,Office Supplies,Office Supplies,Printer Paper,66,209.62,0.13,12036.38,7375.51,4660.87
2024-12-11,2024,12,Los Angeles,Small Business,Online,Office Supplies,Office Supplies,Notebook,7,139.66,0.11,870.08,692.46,177.62
2024-01-28,2024,1,Los Angeles,Home Office,In-Store,Furniture,Furniture,File Cabinet,52,621.0,0.13,28094.04,19590.3,8503.74
2025-04-13,2025,4,Phoenix,Corporate,Online,Clothing,Clothing,Jacket,23,931.6,0.01,21212.53,14461.14,6751.39
2025-11-07,2025,11,Philadelphia,Corporate,Online,Clothing,Clothing,Jacket,94,229.05,0.22,16793.95,13884.31,2909.64
2024-10-02,2024,10,San Antonio,Consumer,In-Store,Furniture,Furniture,File Cabinet,16,566.52,0.28,6526.31,5802.99,723.32
2024-09-01,2024,9,San Diego,Corporate,In-Store,Office Supplies,Office Supplies,Printer Paper,72,813.12,0.14,50348.39,39801.62,10546.77
2023-12-08,2023,12,Houston,Consumer,Online,Office Supplies,Office Supplies,Printer Paper,37,728.81,0.27,19685.16,13522.25,6162.91
2024-10-17,2024,10,San Antonio,Home Office,Online,Electronics,Electronics,Sony WH-1000XM5,67,831.95,0.17,46264.74,34549.24,11715.5
2025-10-25,2025,10,Los Angeles,Corporate,Online,Clothing,Clothing,Jacket,21,361.33,0.11,6753.26,5813.23,940.03
2025-07-26,2025,7,San Antonio,Corporate,Online,Clothing,Clothing,Sneakers,55,748.6,0.14,35408.78,31281.21,4127.57
2025-11-14,2025,11,San Diego,Small Business,Online,Office Supplies,Office Supplies,Desk Lamp,24,377.94,0.26,6712.21,4545.78,2166.43
2025-08-01,2025,8,Dallas,Corporate,In-Store,Furniture,Furniture,Office Chair,39,559.12,0.0,21805.68,14063.68,7742.0
2025-11-28,2025,11,Dallas,Corporate,Online,Clothing,Clothing,Women's Jeans,65,544.35,0.11,31490.65,28275.01,3215.64
2025-05-21,2025,5,Houston,Small Business,In-Store,Electronics,Electronics,Kindle Paperwhite,39,461.02,0.2,14383.82,11140.39,3243.43
2025-06-13,2025,6,San Jose,Home Office,In-Store,Electronics,Electronics,GoPro HERO11,98,591.47,0.14,49849.09,30720.95,19128.14
2023-04-26,2023,4,San Diego,Consumer,In-Store,Electronics,Electronics,Fitbit Versa 4,71,747.93,0.05,50447.88,39793.77,10654.11
2024-12-31,2024,12,New York,Home Office,In-Store,Furniture,Furniture,Standing Desk,16,737.95,0.29,8383.11,7270.57,1112.54
2024-08-07,2024,8,Chicago,Consumer,In-Store,Electronics,Electronics,Dell XPS 13,71,228.51,0.12,14277.3,12815.1,1462.2
2023-02-21,2023,2,Phoenix,Small Business,Online,Electronics,Electronics,MacBook Pro 16,16,494.3,0.16,6643.39,4387.11,2256.28
2024-11-23,2024,11,San Diego,Home Office,In-Store,Clothing,Clothing,Women's Jeans,78,579.16,0.21,35687.84,28697.82,6990.02
2024-09-16,2024,9,Los Angeles,Small Business,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,9,475.68,0.05,4067.06,2926.54,1140.52
2024-05-19,2024,5,New York,Home Office,Online,Furniture,Furniture,File Cabinet,65,979.48,0.12,56026.26,34411.26,21615.0
2025-12-26,2025,12,Phoenix,Corporate,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,97,936.79,0.12,79964.39,49041.74,30922.65
2023-11-04,2023,11,San Jose,Corporate,In-Store,Clothing,Clothing,Jacket,11,352.7,0.04,3724.51,2849.02,875.49
2023-08-26,2023,8,New York,Corporate,Online,Furniture,Furniture,File Cabinet,81,481.77,0.18,31999.16,21756.04,10243.12
2024-03-18,2024,3,Philadelphia,Corporate,In-Store,Electronics,Electronics,Fitbit Versa 4,88,128.83,0.17,9409.74,7374.1,2035.64
2025-11-27,2025,11,Los Angeles,Small Business,In-Store,Clothing,Clothing,Men's T-Shirt,13,37.37,0.25,364.36,302.09,62.27
2024-04-22,2024,4,San Antonio,Home Office,In-Store,Clothing,Clothing,Socks,10,235.32,0.23,1811.96,1429.91,382.05
2023-08-11,2023,8,San Antonio,Consumer,Online,Clothing,Clothing,Men's T-Shirt,90,732.13,0.2,52713.36,37101.19,15612.17
2023-07-05,2023,7,New York,Consumer,In-Store,Furniture,Furniture,Conference Table,91,634.39,0.24,43874.41,33080.02,10794.39
2023-06-04,2023,6,San Antonio,Small Business,In-Store,Furniture,Furniture,Standing Desk,69,325.26,0.24,17056.63,11167.45,5889.18
2023-05-06,2023,5,San Jose,Corporate,In-Store,Clothing,Clothing,Women's Jeans,23,841.6,0.27,14130.46,10929.71,3200.75
2023-06-19,2023,6,Houston,Consumer,In-Store,Office Supplies,Office Supplies,Notebook,42,194.6,0.09,7437.61,5510.93,1926.68
2024-06-28,2024,6,Chicago,Small Business,In-Store,Electronics,Electronics,Samsung Galaxy S23,18,825.24,0.05,14111.6,8653.26,5458.34
2025-11-24,2025,11,Houston,Small Business,In-Store,Office Supplies,Office Supplies,Desk Lamp,47,62.66,0.12,2591.62,2259.22,332.4
2023-12-01,2023,12,Houston,Corporate,In-Store,Electronics,Electronics,Kindle Paperwhite,82,461.06,0.06,35538.5,30075.36,5463.14
2025-07-22,2025,7,San Antonio,Consumer,In-Store,Clothing,Clothing,Sneakers,54,824.72,0.08,40972.09,30103.98,10868.11
2024-06-24,2024,6,Phoenix,Consumer,Online,Clothing,Clothing,Jacket,2,208.09,0.05,395.37,268.37,127.0
2024-02-13,2024,2,Chicago,Corporate,Online,Clothing,Clothing,Men's T-Shirt,67,285.32,0.1,17204.8,12820.52,4384.28
2024-12-18,2024,12,Chicago,Home Office,In-Store,Furniture,Furniture,Standing Desk,56,362.45,0.16,17049.65,13881.56,3168.09
2023-01-21,2023,1,San Jose,Consumer,Online,Office Supplies,Office Supplies,Stapler,59,793.08,0.06,43984.22,37203.56,6780.66
2025-07-18,2025,7,Houston,Consumer,In-Store,Furniture,Furniture,Standing Desk,79,232.0,0.03,17778.16,14862.68,2915.48
2025-02-25,2025,2,Dallas,Small Business,Online,Furniture,Furniture,Bookshelf,56,874.05,0.01,48457.33,43318.73,5138.6
2023-03-10,2023,3,San Diego,Home Office,Online,Office Supplies,Office Supplies,Notebook,22,921.67,0.04,19465.67,12869.01,6596.66
2025-04-29,2025,4,Philadelphia,Consumer,In-Store,Office Supplies,Office Supplies,Stapler,47,231.07,0.08,9991.47,8926.64,1064.83
2024-10-22,2024,10,Philadelphia,Small Business,Online,Electronics,Electronics,Samsung Galaxy S23,38,833.38,0.06,29768.33,21219.21,8549.12
2023-01-14,2023,1,New York,Home Office,In-Store,Furniture,Furniture,Standing Desk,1,257.1,0.28,185.11,160.57,24.54
2024-07-13,2024,7,San Diego,Corporate,In-Store,Clothing,Clothing,Women's Jeans,62,741.55,0.01,45516.34,37364.83,8151.51
2023-08-19,2023,8,Philadelphia,Home Office,Online,Clothing,Clothing,Men's T-Shirt,92,864.5,0.03,77147.98,63446.31,13701.67
2023-06-16,2023,6,San Antonio,Corporate,Online,Electronics,Electronics,MacBook Pro 16,66,572.22,0.12,33234.54,21920.77,11313.77
2023-05-21,2023,5,San Jose,Small Business,Online,Electronics,Electronics,Nikon D3500 DSLR,31,849.19,0.14,22639.41,17469.32,5170.09
2025-04-16,2025,4,Phoenix,Consumer,In-Store,Office Supplies,Office Supplies,Ballpoint Pen,20,730.25,0.27,10661.65,9368.85,1292.8
2025-05-20,2025,5,Philadelphia,Consumer,Online,Office Supplies,Office Supplies,Stapler,95,241.5,0.18,18812.85,13226.2,5586.65
2024-03-20,2024,3,Houston,Corporate,Online,Clothing,Clothing,Socks,64,41.56,0.05,2526.85,1771.87,754.98
2025-07-06,2025,7,San Diego,Home Office,In-Store,Office Supplies,Office Supplies,Notebook,21,839.6,0.05,16750.02,14372.45,2377.57
2025-01-13,2025,1,San Diego,Corporate,In-Store,Office Supplies,Office Supplies,Stapler,87,633.14,0.26,40761.55,35895.64,4865.91
2025-06-24,2025,6,San Diego,Corporate,Online,Clothing,Clothing,Socks,75,782.42,0.01,58094.68,46197.16,11897.52
2023-07-19,2023,7,San Antonio,Small Business,In-Store,Office Supplies,Office Supplies,Printer Paper,3,901.17,0.02,2649.44,1939.09,710.35
2023-07-27,2023,7,Houston,Corporate,Online,Clothing,Clothing,Sneakers,24,865.41,0.19,16823.57,12048.58,4774.99
2025-11-14,2025,11,San Antonio,Corporate,Online,Electronics,Electronics,MacBook Pro 16,48,404.22,0.29,13775.82,8644.65,5131.17
2023-07-06,2023,7,Dallas,Consumer,In-Store,Electronics,Electronics,Nikon D3500 DSLR,18,801.84,0.16,12123.82,9246.52,2877.3
2023-11-24,2023,11,San Antonio,Small Business,In-Store,Office Supplies,Office Supplies,Printer Paper,96,982.42,0.13,82051.72,66071.53,15980.19
